video,peak_id,frame_idx,timestamp_sec,total_score,image_path,raised_leg,raised_height,foot_height_diff,arabesque_angle,torso_tilt,raised_knee_angle,support_knee_angle,dist_highest_wrist_ank,l_elbow_angle,r_elbow_angle,highest_arm_vertical_angle,max_arm_forward,is_behind_body,back_extension,is_jumping,pelvic_tilt,lumbar_arch,thoracic_neck_line,split_angle,support_leg_plumb,shoulder_hip_torsion,arm_symmetry,pelvic_openness_angle
edition4_sequence_20.mp4,0,54,2.16,0.628,True,Left,-0.16715080514700445,1.0453545317943187,109.67956036899939,12.952304706784117,133.12101951580954,163.5307096789069,1.3453621825516062,143.56693172794905,168.63255125593716,122.2033733931808,0.4976248424657466,True,0.8004277951668635,False,12.180080396885714,13.55412190047488,0.0,66.94812414753348,10.795962553554904,38.0328114747194,0.21168692719100035,90.44065669035733
edition4_sequence_20.mp4,1,143,5.72,0.768,True,Left,-0.052279957144563044,1.2044891953857741,104.91946619739394,12.815730031596072,156.94570232405488,162.4762018982261,1.6198004840780147,156.41475969225917,111.45076875837486,138.68192165644564,0.6914469156517264,True,1.0440767579221295,False,18.027165826676246,4.410251873544301,0.0,78.75659775069313,8.830041315925595,26.512812904868778,0.06690213337158282,88.2052367758174
edition4_sequence_20.mp4,2,280,11.2,1.0,True,Right,0.89841249337372,2.0612678656864647,39.91783608893117,12.258946097834048,169.55893394353447,176.54445232400855,1.7118533944841572,168.67339887426309,127.99773750169084,93.07629669186737,0.38841987919036475,True,0.5543132514763683,False,19.324290662305227,9.879748196713523,0.0,142.22775966055707,9.236540242869314,25.465415650609877,0.019035718233852084,89.520641272251
edition4_sequence_20.mp4,3,843,33.72,0.512,True,Left,-0.017562035314381778,0.4958583694559648,109.00332357417793,17.58988110500288,78.89361515991521,72.36625128764204,1.7549630890467987,74.12378935063825,165.54806958124246,70.95941690362275,-0.03846020043160608,True,0.3338930963711174,False,17.453200889558392,4.52942118593254,0.0,60.625974948707025,26.93227391783533,15.507693810948004,0.5380237951305795,89.73801799690756
edition4_sequence_20.mp4,4,1146,45.84,0.725,True,Left,-0.07368360869289167,1.2760468305706008,113.81064198375527,17.97650512862032,155.7519058035904,170.658716191703,1.764834143913479,43.76361391016581,90.91723460909895,106.32131114890942,0.22930547094569959,True,1.0038039592920658,False,27.63599662974448,1.8107847854265764,0.0,77.3902032899147,8.327896831714739,37.56909234709376,0.3764027814779147,84.02775248207443
edition4_sequence_20.mp4,5,1466,58.64,0.767,True,Left,0.022938549781922047,1.299330471703295,110.94509403655007,19.47952285845869,155.24273275897826,168.7203500493373,1.7413575162157922,53.100003756080575,105.30393782943793,111.50127912343781,0.3089444817505677,True,0.9856222857100959,False,30.618617787771015,3.3485727234190783,0.0,78.35346343015148,11.28662551062369,44.432384859213734,0.33760409177970807,82.84086194822576
edition4_sequence_20.mp4,6,1600,64.0,0.427,True,Left,-0.4313074935063014,0.7254836351863762,133.33424530901053,16.56565086229255,175.73729685920796,150.0463778455365,1.4864327834349447,64.91617805095616,158.93379189762572,68.36859544068398,0.2619311783667084,False,-0.3779992381061809,False,12.166629822301559,4.480766860803143,0.0,60.25373921644933,2.285944856700959,32.63195287172645,0.09192071483113007,92.44656957036258
edition4_sequence_20.mp4,7,2570,102.8,0.622,True,Left,0.8099830746954001,1.4389864999536093,122.11957763514961,63.045850928914874,178.1898475605021,83.83686006845636,2.2704878490711207,172.3678318642762,169.693515442505,55.28067351213482,-0.14596394446520206,False,-0.05937389528659546,False,58.73494628635819,6.940435971717756,0.0,77.46631626003638,43.56649886314533,6.67254954487466,1.3641019167085808,90.672356940734
edition4_sequence_20.mp4,8,2651,106.04,0.614,True,Left,0.8489190401737117,1.5701250854351059,124.03957532346055,64.95723343216282,175.72427665914867,93.11503769477845,2.394413646766868,169.62277476762253,172.35341337962436,60.24783462903026,-0.13969847300148122,False,-0.03764786260373077,False,59.85016656332974,9.076545390915621,0.0,76.94881764659412,44.10443914398884,2.542603365738929,1.4345278518562037,90.74612837882881
edition4_sequence_20.mp4,9,3190,127.6,0.498,True,Left,-0.01918830536770088,1.197246935863996,99.99523539203389,7.905505413208562,95.42977755822344,176.00966664798278,1.9352048633622883,154.91216911335832,146.05996213955,89.50838903485949,0.5001215868921011,True,0.590690896818166,False,11.863709823842488,5.117376720528175,0.0,68.3440841284204,14.349901184262277,36.160088075420404,0.17909072313192942,91.22801630379111
