video,peak_id,frame_idx,timestamp_sec,total_score,image_path,json_path,raised_leg,raised_height,foot_height_diff,arabesque_angle,torso_tilt,raised_knee_angle,support_knee_angle,dist_highest_wrist_ank,l_elbow_angle,r_elbow_angle,highest_arm_vertical_angle,max_arm_forward,is_behind_body,back_extension,is_jumping,pelvic_anterior_tilt,lumbar_arch,thoracic_neck_line,split_angle,support_leg_plumb,shoulder_hip_torsion,arm_symmetry,pelvic_tilt_angle
PdL2023_SproutEmily_VarClassique.mp4,0,875,35.0,0.9,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_0_data.json,Right,1.0630280001713686,2.2049651870335536,52.61743287355352,23.130899056371174,166.00962152696374,169.77569037661576,1.0574957261529279,108.45496623927134,131.72753326024713,21.459471369091286,-0.13016055740834662,True,0.5426545586738536,False,26.57859580517677,25.908669505375773,0.0,146.24609143908452,6.733652831363255,19.533116778760238,0.7187252143936737,32.49649663816752
PdL2023_SproutEmily_VarClassique.mp4,1,920,36.8,0.85,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_1_data.json,Left,0.5535587205332505,1.6433214372253206,85.86767631315983,24.25754745833865,174.6685332336902,143.09655081043147,2.120697083867697,135.03058658686632,166.19288346208256,86.01968169959328,0.3896526625497748,False,-0.3194630901182177,False,29.224685012865226,32.4890710301221,0.0,113.2418220152876,12.482486318471139,32.62840265202779,0.3136526302106877,29.752092403995498
PdL2023_SproutEmily_VarClassique.mp4,2,1391,55.64,0.655,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_2_data.json,Left,-0.093646201950436,1.0162425264969384,104.23545419119343,6.800934119267598,174.85116196981105,123.74421602477473,2.2848011281307294,162.55855992469426,175.96973553810687,102.470415005497,0.1701267878086297,True,1.0133387572959283,False,12.962422165394887,28.88507124723314,0.0,85.31487958190976,2.8385965792496433,18.3479938824583,0.14533250431792621,14.426171237789784
PdL2023_SproutEmily_VarClassique.mp4,3,1577,63.08,0.983,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_3_data.json,Right,1.0917915229804105,2.1806362162870956,30.560428956219287,15.709661432997073,157.19745704017893,160.48472169871,0.7874462885509678,143.07995203970233,128.2469147620154,99.99385325154394,0.16534331926040027,True,0.34880417261504093,False,29.832528465843446,32.31508705438432,0.0,170.29996387878424,14.75260736172648,36.61889752607437,0.20360968014846254,33.16210251274713
PdL2023_SproutEmily_VarClassique.mp4,4,1615,64.6,0.592,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_4_data.json,Left,-0.15992247044229285,0.8284010571571023,109.77842015306432,18.985338326530307,132.97582412910967,174.8311358603879,1.058086097978514,100.1837457398143,148.4139039209063,99.88426593766039,-0.3401661132043812,True,0.9421192053716578,False,25.65233473328819,8.855267665011112,0.0,47.66123900309275,34.78949521426457,8.303485015773436,0.04938010375098251,3.380631398997356
PdL2023_SproutEmily_VarClassique.mp4,5,1661,66.44,0.9,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_5_data.json,Left,0.6574354523352091,1.7907815885553675,81.26221298711044,27.04471453180684,174.49442078828923,135.32547302026762,1.8844883432944262,151.4856977826008,140.90674980787043,52.44396781936953,-0.022497039589680138,True,0.6661975306425707,False,36.711620560331845,43.64344405542091,0.0,132.77885086444476,7.814396248817607,7.843090660524003,0.6373782242223196,40.509817729060416
PdL2023_SproutEmily_VarClassique.mp4,6,2015,80.6,0.824,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_6_data.json,Right,0.4314857579169159,1.4908120477021107,85.49879720746681,24.314551705759165,134.70445147869114,161.1328001004088,1.2514820293599405,101.59657271350706,137.6231458193135,23.39150510448905,-0.17745967980686192,True,0.6303597911200091,False,31.032094135587283,11.176902070494565,0.0,98.85001766893228,36.544273796630954,2.667733146273112,0.022984124161172792,27.134979241836167
PdL2023_SproutEmily_VarClassique.mp4,7,2084,83.36,0.857,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_7_data.json,Right,0.39383474025659965,1.449569363228183,89.00164643220107,23.552989404596257,141.42788890020347,163.24475126780945,1.2630746745772452,96.06661264533918,149.2878929013435,20.853022005145593,-0.16193144098693377,True,0.7895865623652938,False,29.86393380539411,12.127028235080349,0.0,96.23251767373515,33.76497846845767,0.09931505818691903,0.009812217070324758,26.897864641603803
PdL2023_SproutEmily_VarClassique.mp4,8,2152,86.08,0.842,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_8_data.json,Right,0.5116576562821559,1.5751539505564627,80.00447974929632,24.406876347781875,138.41560035423453,160.00630090305103,1.158942466370723,90.9889292236366,159.09155523681622,20.72847271117075,-0.18159068319525667,True,0.6234374409653722,False,30.931798986689657,12.177544934100101,0.0,108.90407005282563,29.061596634341846,6.801524695599151,0.027809169334436667,30.358318229305237
PdL2023_SproutEmily_VarClassique.mp4,9,2216,88.64,0.864,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_9_data.json,Right,0.47599535053731085,1.518547289116301,83.22574601534814,23.81073175974023,142.73049767770524,161.58406585217003,1.2182264583938684,106.23155963039878,135.47052108135358,24.978823561793273,-0.1786698024962444,True,0.6821187854833197,False,29.98958314438722,12.100800469788263,0.0,101.612845464401,35.4458060771765,2.60263196287038,0.009389311166358771,28.323525320054593
PdL2023_SproutEmily_VarClassique.mp4,10,2285,91.4,0.897,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_10_data.json,Right,0.4514570922068464,1.556218096550169,90.80676675895704,22.82429809037855,150.12251242192653,166.263725419641,1.4216000984165054,95.28628711988367,144.39206432783624,14.797060942367487,-0.15622534903270127,True,1.001062831899106,False,30.566265576021834,13.872598531302296,0.0,92.90389165278776,32.09941755417156,8.585978718212107,0.01778239552041616,27.870094543105953
PdL2023_SproutEmily_VarClassique.mp4,11,2784,111.36,0.443,True,./results/edition51/frames/skeletons/PdL2023_SproutEmily_VarClassique.mp4_peak_11_data.json,Right,-0.8245237448181768,0.2507057457213666,135.14480140431033,15.186083728879028,128.56708619829078,160.6703539074318,1.637478216062071,168.9221241799123,155.62365544292274,83.28091207493631,0.16148165106973683,True,0.15944995014874802,False,5.952570371007946,15.259564941833958,0.0,24.247145192115166,12.436394842910056,25.85165623054827,0.17152099604018378,3.6051287784898887
