video,filename,year,decade,real_gender,json_path,valid_img_name,countries,performance,full_name,raised_height,foot_height_diff,dist_highest_wrist_ank,arm_symmetry,split_angle,raised_knee_angle,support_knee_angle,support_leg_plumb,torso_tilt,arabesque_angle,pelvic_anterior_tilt,lumbar_arch,pelvic_tilt_angle,thoracic_neck_angle,l_elbow_angle,r_elbow_angle,highest_arm_vertical_angle,max_arm_forward,back_extension,support_torso_angle,shoulder_hip_torsion
edition10_sequence_0.mp4,edition10/edition10_sequence_0.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_14_data.json,edition10_sequence_0.mp4_peak_14_frame_2000_score_0.71.jpg,France,The Nutcracker - Sugar Plum Fairy,Ch¨¦rittwizer Val¨¦rie,-0.3386316402925959,1.0180429817641246,2.279136772760724,1.338333119187072,75.7263272175253,165.6381962444354,171.26837637563204,8.625752242538244,10.634749812799788,105.78384407853264,13.433290840195564,14.707116321662166,16.922281222786452,76.45072552385739,173.80253908046137,23.415645719072128,9.59827332053506,0.1440701120410585,0.5910428065827668,163.49723442487326,32.23688399503902
edition10_sequence_0.mp4,edition10/edition10_sequence_0.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_15_data.json,edition10_sequence_0.mp4_peak_15_frame_2285_score_0.69.jpg,France,The Nutcracker - Sugar Plum Fairy,Ch¨¦rittwizer Val¨¦rie,0.1300276003461889,1.3457116870631016,2.148996293353786,0.5165300254282291,93.15836788511976,162.5478074354613,173.78767866379116,3.338601777143671,9.747662802565737,96.12103651729002,13.262004366244668,36.73694732762957,20.3663455335321,84.08695684741652,141.42823107022306,119.6235681666692,15.068305018335618,0.0376148547439608,0.9214311270355464,168.11087000137894,26.973585404857083
edition10_sequence_0.mp4,edition10/edition10_sequence_0.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_16_data.json,edition10_sequence_0.mp4_peak_16_frame_2492_score_0.65.jpg,France,The Nutcracker - Sugar Plum Fairy,Ch¨¦rittwizer Val¨¦rie,-0.104077989388489,1.1339006864926178,2.513710501568973,0.4798178954156346,84.964242833618,168.33664832599345,170.32953698798974,5.059810591122819,9.711216123419431,107.63769102720718,10.997872212799818,27.983049800735355,17.103735084859125,83.74517417998507,145.46583130192025,138.4116194958234,34.7855580307148,0.2471830128987281,0.865841229740421,165.9029387927611,28.22903474584074
edition10_sequence_0.mp4,edition10/edition10_sequence_0.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_17_data.json,edition10_sequence_0.mp4_peak_17_frame_2705_score_0.62.jpg,France,The Nutcracker - Sugar Plum Fairy,Ch¨¦rittwizer Val¨¦rie,-0.0803078724948489,1.1768418765451172,2.355092035467673,0.535142332499102,83.03237590690121,162.53158886502996,171.72483462039207,3.388808676962518,8.231997289196872,102.21254574165326,7.987881285073528,32.59199509300249,15.620642625161208,73.59998292026215,141.6255404158008,139.1279646455362,20.04652611522706,0.0784305075539382,0.883058267364793,169.17630291838216,26.464608241862127
edition10_sequence_10.mp4,edition10/edition10_sequence_10.mp4,1982,1980,M,results/edition10/frames/skeletons/edition10_sequence_10.mp4_peak_2_data.json,edition10_sequence_10.mp4_peak_2_frame_232_score_0.87.jpg,Italy,Don Quichotte,Giannetti Maurizio,0.4416305170520269,1.7914348985934028,1.5709086170115385,1.4571304203241868,111.51643495541536,166.58888697411857,161.11030571938048,6.256912814310048,22.78702987915588,96.40866162918282,27.39275747295839,8.537237422665529,25.52013507295973,6.624813292481072,146.57744020769087,123.71032871719532,12.181151783049076,-0.1427313510194043,1.2046910701871625,151.5772385653155,25.11631846038874
edition10_sequence_12.mp4,edition10/edition10_sequence_12.mp4,1982,1980,M,results/edition10/frames/skeletons/edition10_sequence_12.mp4_peak_2_data.json,edition10_sequence_12.mp4_peak_2_frame_395_score_0.98.jpg,France,Sleeping Beauty - Act III Prince Desir¨¦,Guiderdoni Thierry,0.301389706558095,1.5856578645980064,2.020996162201509,0.6955746106811367,102.988543190416,158.2425862328492,172.62578105333736,1.9185032915425568,17.488438174166383,94.57285906498662,17.929103497307697,24.436894749347363,19.76319437197421,79.6283818405544,152.59672482430557,134.01710716472618,29.89826421875,0.199154656049128,1.0028441060654645,162.43857932793125,47.253121473808186
edition10_sequence_2.mp4,edition10/edition10_sequence_2.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_2.mp4_peak_0_data.json,edition10_sequence_2.mp4_peak_0_frame_687_score_0.73.jpg,France,Le Corsaire,Hall¨¦ Muriel,0.0356127429276571,1.3395858264290652,2.1790154661609904,0.5187738161741096,81.71305749664981,160.06068379826615,166.62132485518586,7.591031873051411,7.895892000820545,98.4232435784582,7.928153447788756,19.57351869004016,15.530226532443985,88.81510335634928,170.84354566923727,136.75075741332046,28.63594631400881,0.1920035310025555,1.1544939997719794,177.6358319016148,38.38904321246677
edition10_sequence_2.mp4,edition10/edition10_sequence_2.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_2.mp4_peak_3_data.json,edition10_sequence_2.mp4_peak_3_frame_942_score_0.68.jpg,France,Le Corsaire,Hall¨¦ Muriel,-0.0500156986336961,1.2574528973974586,2.299145625265968,0.6871166567670166,80.33397797869239,155.70685569127687,167.88219133594856,5.122011607045891,9.254593276238804,104.32115533925555,7.768525493521866,20.3778594169697,16.477612897973895,90.01508028327085,163.9731547997144,146.350792540887,30.75756701967064,0.1887588820642285,1.1335049115227571,174.7000642805366,31.853461005478646
edition10_sequence_2.mp4,edition10/edition10_sequence_2.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_2.mp4_peak_7_data.json,edition10_sequence_2.mp4_peak_7_frame_1486_score_0.72.jpg,France,Le Corsaire,Hall¨¦ Muriel,0.2110420378572594,1.5198217534053995,1.8317204178503648,0.1609113523769776,97.33138542594972,159.6593592538297,168.2306866459497,1.7901141570248722,2.808095092464118,83.38414060604275,9.347708078022396,16.84164434027712,11.762722517943896,74.9330745346286,157.15516350529742,152.2404993392257,12.243402484025324,-0.0895793629700932,0.6666044232320654,178.81221027896024,7.069598972757409
edition10_sequence_3.mp4,edition10/edition10_sequence_3.mp4,1982,1980,F,results/edition10/frames/skeletons/edition10_sequence_3.mp4_peak_0_data.json,edition10_sequence_3.mp4_peak_0_frame_103_score_0.69.jpg,France,Coppelia - Act I,Marache Sandrine,0.0237553907890594,1.207508363071771,1.8725721114360387,0.3747527667431982,86.91975400195837,113.62014202823066,175.13894571138275,0.2842439665357412,14.913279275702704,107.75312680154032,16.660342673874922,17.03024926759192,22.044827066966768,71.95277257260706,156.11553272651653,143.15002927760682,35.79087877709712,0.1953928298799094,0.5314758290926251,165.20366963460194,43.16083257798356
