video,peak_id,frame_idx,timestamp_sec,total_score,image_path,json_path,raised_leg,raised_height,foot_height_diff,arabesque_angle,torso_tilt,raised_knee_angle,support_knee_angle,dist_highest_wrist_ank,l_elbow_angle,r_elbow_angle,highest_arm_vertical_angle,max_arm_forward,is_behind_body,back_extension,is_jumping,pelvic_anterior_tilt,lumbar_arch,thoracic_neck_line,split_angle,support_leg_plumb,shoulder_hip_torsion,arm_symmetry,pelvic_tilt_angle
316_AmyRONNFELDT_classical_2022_enc.mp4,0,552,22.08,0.744,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_0_data.json,Right,-0.36226827666439787,0.6728219274621243,93.88921915317421,22.14620051024685,164.64571687721798,149.10803623090982,2.178793858979169,163.1171155596012,112.75102373783196,59.328322307221654,0.13234726860495022,True,0.4724369025851333,False,8.865440798935099,14.887398776939733,0.0,47.57801088471473,24.80279166413389,28.113947935046642,0.64092625991764,10.3201216670029
316_AmyRONNFELDT_classical_2022_enc.mp4,1,807,32.28,0.85,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_1_data.json,Left,0.33672618748264815,1.4045200276154235,69.08913733336772,14.372589107429787,108.51862927105597,177.94357610359307,1.0953467202049325,167.43864049266568,166.68857414934143,50.27731258476981,0.3507926800018648,True,0.6193195332796675,False,28.226702892116517,8.219193661535641,0.0,124.422769230264,7.607149393593232,39.545997934605765,0.646093124072536,2.6791203753254726
316_AmyRONNFELDT_classical_2022_enc.mp4,2,1283,51.32,0.91,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_2_data.json,Left,0.2559436609793323,1.407045985933983,69.0224026676528,11.9961592564932,134.76502652860594,165.5012944193744,0.9096390092606284,172.8680631526445,171.53169547729087,60.075814966895436,0.2954936969699455,True,0.5971249804655931,False,22.169163442902324,9.14534310867405,0.0,118.66721647932255,8.927437063345836,39.264386886183026,0.6444995222316555,7.32902790925507
316_AmyRONNFELDT_classical_2022_enc.mp4,3,1711,68.44,0.77,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_3_data.json,Right,0.5472277210349316,1.6237525621186095,72.18526582786548,24.024754770340504,123.915254604403,157.63978183360905,0.8831274662955279,120.83391891358697,125.5143890423558,27.694061767416628,-0.30000471589658867,True,0.6432425742033356,False,32.59767945800727,8.8107537418664,0.0,117.13223460773547,16.05398270205715,0.11099632270251297,0.395955124845346,0.08379736028896013
316_AmyRONNFELDT_classical_2022_enc.mp4,4,1814,72.56,0.9,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_4_data.json,Left,1.1535877944380388,2.246545645263978,35.14481218771585,11.630446639849369,173.7962958088713,157.8674508045133,0.8246276757486928,142.7337142959579,133.5182009626467,26.838711351230522,-0.20191629821228674,True,0.5106624503312228,False,12.426705649410533,26.99443827791698,0.0,124.28529869259202,31.22444582939781,17.311892268393162,0.2043222779418601,27.431765756786064
316_AmyRONNFELDT_classical_2022_enc.mp4,5,1890,75.6,1.0,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_5_data.json,Left,0.7384097860980886,1.8967332635571021,88.92746699413253,33.89803016002163,157.88520339837336,158.1125400019606,2.181399289410001,140.69372541826527,150.0945126698369,66.31851937636472,0.2294301986146716,True,0.30578346113235894,False,37.215106309928174,35.28522025436814,0.0,109.87762625186055,23.93790031332252,19.85383593487012,0.24645484889561609,44.57935386965802
316_AmyRONNFELDT_classical_2022_enc.mp4,6,2069,82.76,0.9,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_6_data.json,Left,1.1132837090613346,2.131668000508361,45.680743054213536,28.345691319247642,166.93092801885808,151.432636091894,0.8058431058506758,142.0698223653144,122.25940263674818,29.87634709735147,-0.2299246227511081,True,0.3232049412723389,False,35.32533294373519,11.518446100350989,0.0,121.85839015761665,40.948186836054546,1.0811667542457728,0.012246020511896827,37.07361666351272
316_AmyRONNFELDT_classical_2022_enc.mp4,7,2158,86.32,0.838,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_7_data.json,Left,0.8094012367417736,1.983709041528639,93.05339773678492,43.99042709154877,165.24905017854425,153.851860453243,2.1817431614465495,140.37694277590288,145.38232189127027,63.8080695319065,0.43968356753973586,False,-0.22048908945502543,False,50.62166054918181,31.504064263830198,0.0,126.93022978188868,5.176395735906839,40.78275601981913,0.1441833096306674,48.13472941948121
316_AmyRONNFELDT_classical_2022_enc.mp4,8,2204,88.16,0.587,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_8_data.json,Right,-0.6687504339763984,0.3719902700893899,109.88707333058237,23.076837518457605,133.31293201906107,154.0267193547988,2.341163642190455,170.46064016923762,172.98186789652436,58.8555333905387,0.3388906700110652,True,0.6299110520500921,False,6.2659149668364105,10.774499304742891,0.0,31.723704891408534,28.728233486987524,40.18291249454702,0.13966130734140825,7.8353548637868045
316_AmyRONNFELDT_classical_2022_enc.mp4,9,2866,114.64,0.45,True,./results/edition50/frames/skeletons/316_AmyRONNFELDT_classical_2022_enc.mp4_peak_9_data.json,Right,-0.5838180055466466,0.3287740053688488,143.81932231038775,30.071887095418216,157.82201388934615,129.87132194237293,2.640237403086326,142.03822199255814,125.88633969060524,22.39124006292595,-0.233908953520387,True,0.5044295564261814,False,25.08404849567761,8.617599695864234,0.0,103.38757429233856,38.944090226418375,18.047626975802117,0.04924866113377746,1.3155280386493757
